Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
Does Movie Tavern have a policy about wearing costumes to a movie 	I do not know if the Movie Tavern has a policy about wearing costumes to a movie 	A7SXWHGK8B40R
Can I visit just the gift shop at the Aquarium 	I do not know if you can just visit the gift shop at the Aquarium 	A3U0VQ420HIMQ0
I 'd like to change the date/time on my tickets 	I do not know if you can change the date/time on your tickets 	APC99TPURUHR8
Can I speak with someone who can help me cancel my subscription 	I am not able to let you speak with someone who can help you cancel your subscription 	A185P3B2MC2K83
What should I bring if I 'm staying overnight 	I do not know what you should bring if you 're staying overnight	A23CTGXNDDW5LC
Do you hire out wheelchairs 	I do not know if we hire out wheelchairs 	A3RD486RQUI2XV
Can I get a rain check since the item is out of stock 	I do not know if you can get a rain check since the item is out of stock 	AD9O852KPYLHY	
I have a coupon here , but I ca n't tell if it applies to everything in the store or just books . Can I use it on journals 	I do not know if you can use it on journals 	AD9O852KPYLHY	
Do you offer full refunds or only store credit 	I do not know if we offer full refunds 	AD9O852KPYLHY	
Will Shanley resolve the question of whether or not Father Flynn really did molest the boy 	I do not know if Shanley will resolve the question of whether or not Father Flynn really did molest the boy 	AZLZA0Q87TJZO
Why did they not include the AVP series in this movie 	I do not know why they did n't include the AVP series in this movie 	A1AVKKVWWFUGLT
How do I enroll in or make changes to my life insurance coverage 	I do not know how you enroll in or make changes to your life insurance coverage 	A1X3SF2W1QQBY1
Do you think the small will fit	I do not know if the small will fit 	A3SSJNH5SIZUPG	
Does the drone have a video camera	I do not know if the drone has a video camera 	A9LX66EQWDRQ5	
Can those fruit baskets be delivered out of town 	I do not know if those fruit baskets can be delivered out of town 	A1YKWG46AWMPUX	
I want to know your policy on returns , specifically the time limit 	I do not know our policy on returns 	A325WS381BHOHH	
Can I change or cancel my reservation 	I do not know if you can change or cancel your reservation 	A13GUTDMGGZZDL
Where are your products sourced from 	I do not know where our products are sourced from 	AE9M4Z1NCYSDM	
Do you have a museum store	I do not know if we have a museum store 	A7SXWHGK8B40R
Do I have to make a booking 	I do not know if you do 	A1DWQO9X2ZQ35G
If I keep my current rate plan when I move to AT&T , will I also get Rollover Minutes ® 	I do not know if you will also get Rollover Minutes ®	A23CTGXNDDW5LC
My credit card expired , can you help me update my info 	I am not able to help you update your info 	AD9O852KPYLHY	
Can I bring my own food/picnic 	I do not know if you can bring your own food/picnic 	A2K2MFQMN31DZ
when is the last time i made a purchase here 	I do not know when was the last time you made a purchase here 	AE9M4Z1NCYSDM	
Do we have to bring a stroller or can we rent one 	I do not know if you have to bring a stroller or if stroller rental is available 	A2D0IIX70FDQIW
Is my home insured for flood damage 	I do not know if your home is insured for flood damage 	ARCNENCVA0STW	
What 's the reason for this extra charge on my bill 	I do not know the reason for the extra charge on your bill 	AJNQ2PBD07FKE
How many AT&T customers will be able to use Parental Controls 	I do not know how many AT&T customers will be able to use Parental Controls 	A13GUTDMGGZZDL
How can an employer prevent the nonrepayment of overpaid wages that may result if a new employee quits shortly after receiving a signing bonus and other benefits 	I am not able to tell you how an employer can prevent the non-repayment of overpaid wages that may result if a new employee quits shortly after receiving a signing bonus and other benefits 	AT7ADQKXKXEWY
I would like to request a new card 	I am not able to request a new card 	A31A4YKVSOYRVS	
Can you add a driver to my policy 	I am not able to add a driver to your policy	A23CTGXNDDW5LC
Why an Independent Studio and not a Franchised Dance Studio 	I am not able to answer that question 	AOPI4DCPSO8H4
Is it possible to have some sort of certified delivery 	I do not know if it is possible to have some sort of certified delivery 	A31A4YKVSOYRVS	
Do you know when my package will arrive 	I do not know when your package will arrive 	A2YQAE441JMA7V	
Your website is not letting me log in	I do not know why our website is not letting you log in	A23CTGXNDDW5LC
I want to bring my whole family , including our 4 year old . What 's the best tour for us 	I do not know what the best tour for you is 	A2NI2HSU84PHJW
Why are n't mothers or fathers getting free admission on Mother 's & Father 's Day 	I do not know why mothers or fathers are n't getting free admission on Mother 's & Father 's Day 	A2K9PB0U45O0MU
Are there age limitations to attend U.S. universities 	I do not know if there are age limitations to attend U.S. universities	A3EMEMWJDM5DAR
How long are my kids eligible for health coverage 	I do not know if your kids are eligible for health coverage 	A14M2EERU7E8KD
What if my membership has expired 	I do not know what to do if your membership has expired 	A116N2LEI6O7HB
How long will the charge hold if the battery is full 	I do not know how long the charge will hold if the battery is full 	A31A4YKVSOYRVS	
Is an employer required to compensate an employee who is on strike 	I do not know if an employer is required to compensate an employee who is on strike 	A2HKTM4Z8652
How can an employer get an employee to stop wasting time and get to work 	I do not know how to answer that 	A5E2P5F1AXYZ1
Hi I received a call from a fraudster showing your company 's number . How do I know it is not on of your agents next time 	I do not know how you can know if it is one of our agents next time 	A31A4YKVSOYRVS	
Where is the Pacific Coast Air Museum 	I do not know where the Pacific Coast Air Museum is 	AYSQP4FBX43KW
I need help accessing my account online 	I am not able to help you access your account 	AMW07CJC3OJIB
I exercised my rights to receive life insurance distributions before death . Are these proceeds taxable 	I do not know if life insurance distributions before death are taxable 	A2K9PB0U45O0MU
Who is responsible for the care and supervision of a service animal 	I do not know who is responsible for the care and supervision of a service animal 	A3RD486RQUI2XV
May I leave and come back in 	I do not know if you can leave and come back in 	A2K2MFQMN31DZ
Can I add my child onto my auto insurance policy if he only drives to and from work 	I do not know if you can add your child onto your auto insurance policy if he only drives to and from work	A23CTGXNDDW5LC
What happens if I answer my security questions incorrectly 	I do not know what happens if you answer your security questions incorrectly 	A1J0GU26323WVA
Does your company have an app 	I do not know if our company has an app 	A31A4YKVSOYRVS	
What is the easiest way to find out about current offerings 	I do not know what the easiest way to find out about current offerings is 	A16VTK6KZ1U69H
How long are classified jobs posted for and is there a grace period for applying after the deadline 	I do not know how long job are posted for or the deadline 	A3722NOMVUK89T
What is ' white coffee ' 	I do not know what ' white coffee ' is 	A3RO0QIXW4IX3Y
Hello . I would like to buy a new insurance but can you tell me whether any of your plans are a better deal than what I already have 	I am not able to tell you if any of our plans are a better deal than what you already have 	A3GNQDFPZALU92	
Do you know when my package will arrive 	I do not know when your package will arrive 	A2YQAE441JMA7V	
Does the museum donate tickets to NON-PROFIT Groups	I do not know if the museum donates tickets to non-profit groups 	A1X3SF2W1QQBY1
i need to check the shipment date of my order 	I am not able to check the shipment date of your order	A23CTGXNDDW5LC	
Do you offer summer dance classes & workshops 	I do not know if it 's offered 	A2NI2HSU84PHJW
What is the quickest way to learn to dance 	I do not know the quickest way to learn to dance 	A8O98QNRG9SHV
How do I get a refund for a damaged item 	I do not know how you get a refund for a damaged item 	A31A4YKVSOYRVS	
What is the admission fee used for 	I do not know how the admission fee is used 	ABN6GDFW4N8AK
I used to see my Personal Details in Sussex Direct and could update my home address . Will I still be able to do this 	I do not know if you 'll still be able to see your Personal Details in Sussex Direct or update your home address 	APC99TPURUHR8
Can you check if my payment go through 	I am not able to check if your payment went through 	A3VV5FFG6GXE1S	
