It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
What services does my hospital bill include 	I do not know what services your hospital bill includes 	A1AF392CLGHH0X
Do you offer scholarship or work study opportunities 	I am not able to tell you if we offer scholarship or work study opportunities 	A1JBSFXMMRGSQD
I purchased a new vehicle on lease from you . I 'd like to bring it in for service . Can you set up an appointment for me 	I am not able to set up an appointment 	3PZDSVZ3J599OJVS0TUN6IZXNV64NI
How long will it take to receive this in the mail 	I do not know how long it will take to receive in the mail 	A260AFDCSXBQOH
I want to dispute a charge 	I am not able to dispute a charge 	A31A4YKVSOYRVS	
How do I donate an artifact 	I do not know how you can donate and artifact 	A16NITTBMCSN0V
Can you help update my phone number 	I am not able to help update your phone number 	AJKA9BKC011F2
Do you have ribeyes	I do not know if we have ribeyes 	A31A4YKVSOYRVS	
Do you ship on Sunday 	I do not know if we ship on Sunday 	A8F4B0854KTXO	
How can I find out when tickets will go on sale for a particular performance	I do not know how you find out when tickets will go on sale for a particular performance 	A1J0GU26323WVA
What is the best advice for an employer to avoid an affirmative action audit 	I do not know the best advice 	A1DWQO9X2ZQ35G
Do you have strollers and wheelchairs for rent 	I do not know if we have strollers and wheelchairs for rent	A23CTGXNDDW5LC
I was recently billed by my daughter 's pediatrician and I was charged full price . What happened ? I thought my policy was a family plan and that her pediatrician is in your network 	I do not know what happened with your billing 	3QXFBUZ4ZK82VP8LSV8AT2OULW7UGM
Can I leave my bags/belongings in a secure place at the zoo 	I do not know if there is a secure place to leave your bags/belongings at the zoo 	A2VIKCIM9TZL22
Are strollers permitted in the galleries 	I do not know if strollers are permitted in the galleries 	A1XNCA1SVTT15B
Tell me why you rejected my visa application 	I do not know why I rejected your visa application 	A7SXWHGK8B40R
What should I do if I forget my MileagePlus password 	I do not know what you should do if you forget your MileagePlus password 	A2HKTM4Z8652
I recently received an item but it is not what I expected . How can I return it 	I do not know how you can return an item that is not what you expected 	AE9M4Z1NCYSDM	
I wanted to order the software for the new tax season , when does that get released 	I do not know when the software for the new tax season will be released 	AE9M4Z1NCYSDM	
I remember my user id and password , but it does not work . What do I do 	I do not know what you should do 	A2NI2HSU84PHJW
May an employer claim a larger tip credit for overtime hours 	I do not know if an employer can claim a larger tip for overtime hours 	APF1EAZT104LQ
Will Cisco assist with relocation expenses 	I do not know if Cisco will assist with relocation expenses 	A3CL6GEDFNQGQY
What is the average Footprint for someone in my country 	I do not know the average Footprint for someone in your country 	APC99TPURUHR8
Where can I buy an owners or service manual 	I do not know where you can buy an owners or service manual 	A2VIKCIM9TZL22
Is there a limit as to the number of gift cards I can apply to my order 	I do not know if there is a limit as to the number of gift cards you can apply to your order 	3UEBBGULPFGWHPCQHB2SBHOIKH7UFN
I need to reschedule my appointment , can we move it from 6:00 pm today to 7:30 pm today 	I am not able to move it from 6:00 pm today to 7:30 pm today	33K3E8REWWNFJEWYE279LW60RVBX81
What is an employer prohibited from doing during a union campaign 	I am not able to tell you what an employer is prohibited from doing during a union campaign 	AT7ADQKXKXEWY
What differentiates HR Alternatives from other HR companies 	I do not know what differentiates HR Alternatives from other HR companies 	A9LX66EQWDRQ5
Can I request a donation from Luxor 	I do not know if you can request a donation from Luxor 	A3B2YRXL26RPVH
There is some information that I do n't understand on the invoice attached to my order . Can you tell me what item number 344566 is 	I am not able to tell you the item number 	3MG8450X2O28821KVEYXNB2MMNUPUL
Is my package insured in case anything happens during delivery	I do not know if your package is insured in case anything happens during delivery 	A3RD486RQUI2XV
Do you offer a family discount for the violin lessons 	I do not know if we offer a family discount for the violin lessons 	A3VV5FFG6GXE1S	
How long before my session times out 	I do not know how long before your session times out 	A9LX66EQWDRQ5
I 'm an existing Verizon Wireless customer ; can I purchase a device under a device payment agreement 	I do not know if you can purchase a device under a device payment agreement 	A2K2MFQMN31DZ
Will I have to pay additional registration fees when I pick up my plate 	I do not know if you will have to pay additional registration fees when you pick up your plate 	A2VIKCIM9TZL22
Do I need a tube to slide 	I do not know if you need a tube to slide	APF1EAZT104LQ
Is there any recommended course for gallery visit 	I do not know if there is any recommended course for gallery visits 	AJ7E01X4TAGHL
I have a gas leak . Is this the correct number to report it or can you connect me to the proper one 	I do not know if this is the correct number or not 	3EKZL9T8Y8EK9RMWQA5SKWEPTWECHU
Do you cater for groups 	I do not know if we cater for groups 	A2NI2HSU84PHJW
How do I go about changing my insurance policy 	I am not able to tell you how to go about changing your insurance policy 	A31A4YKVSOYRVS	
I have a ' guest ' listed on my membership card , who can I bring	I do not know who you can bring if you have a ' guest ' listed on your membership card 	AZLZA0Q87TJZO
Where can I get a list of museums around the world or in a specific country 	I do not know where you could get a list of museums around the world or for a specific country 	A2VIKCIM9TZL22
How/where do I get shipment labels or receipts 	I do not know how/where you get shipment labels or receipts 	A2K9PB0U45O0MU
When I try to transfer my credit card balance over it gives me a warning , should I just go ahead anyway 	I do not know if you should just go ahead anyway	3JUDR1D0D6JKO2TXC73GHXX48SWQ2U
What is the best way to get my question answered	I do not know the best way to get your question answered 	A2K9PB0U45O0MU
Can I park and ride to the Historic Dockyard	I do not know if you can 	A1DWQO9X2ZQ35G
Do you sell replacement parts for this item 	I do not know if we sell replacement parts for this item 	AE9M4Z1NCYSDM	
How can I manipulate/sort my search results 	I do not know if you can manipulate/sort your research results 	A7SXWHGK8B40R
What 's the closest branch to me 	I do not know the closest branch to you 	AD9O852KPYLHY	
Are there any insurance options available for this kind of vehicle 	I do not know if there any insurance options available 	A27CB6JIC5MZFR
How do I opt-out of HRB Digital marketing communications 	I do not know how you opt-out of HRB Digital marketing communications 	A2K9PB0U45O0MU
Where do I make a change to the amount of the same item I 'm ordering 	I do not know where you can make a change to your order 	AD9O852KPYLHY	
Do you allow skateboards 	I do not know if we allow skateboards 	A13GUTDMGGZZDL
I spoke with a representative earlier regarding my order earlier , can you give me an update on the order 	I am not able to give you an update 	3O71U79SRBHM8MC3ETB5R6Q3WLYSMC
Yesterday the person I spoke to said I would receive the package by the end of the day , and it says delivered . I never received it 	I do not know why you never received it 	AADRVG2QVZH75	
Can we smoke at the Museum 	I do not know if you can smoke at the Museum 	A3B2YRXL26RPVH
Do you offer a discount if I buy the same item monthly 	I am not able to offer a discount if you buy the same item monthly 	A3VV5FFG6GXE1S	
Did Perth Zoo once have polar bears	I do not know if Perth Zoo had polar bears 	A10249252O9I20MRSOBVF
What if we do n't want anything too difficult , fancy or choreographed 	I am not able to help you if you do n't want anything too difficult , fancy or choreographed 	A7SXWHGK8B40R
Who should I contact if my order is lost	I do not know who you should contact for a lost order 	AI4AO0O0WIJF7
How long will it take to get here ? Can I change my shipping method 	I do not know how long it will take to get here and I am not able to change the shipping method 	35XW21VSVG6224UIEHAQRTBEWG8SLA
Why are you doing Shines you have n't taught us 	I do not know why we are doing Shines we have n't taught you 	A2K9PB0U45O0MU
How are Short-term Disability and Worker 's Compensation leaves handled in the Time Collection System 	I do not know how Short-term Disability and Worker 's Compensation leaves are handled in the Time Collection System 	AJ7E01X4TAGHL
Where is the money spent that is borrowed from the public and who decides where it goes 	I do not know where the money that is borrowed from the public is spent , or who decides where it goes 	A2K2MFQMN31DZ
What learning path/discipline in data science I should focus on 	I do not know what learning path/discipline in data science you should focus on 	A18KR781AUQBA6
